SMILES,Tg,FFV,Tc,Density,Rg
*CCOCCOCCOCCOCCOCCOC(=O)c1cc(OCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc(C(=O)O*)c1,,0.34770487,,,
*Sc1ccc(C(=O)CNCCCCCCCCNCC(=O)c2ccc(*)cc2)cc1,,0.37618331,,,
*c1ccc(Oc2ccc(N3C(=O)c4cc(-c5ccc(C(C)(C)C)cc5)c(-c5cc6c(cc5-c5ccc(C(C)(C)C)cc5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,,0.40978294,,,
*CC(*)c1ccccc1C(=O)OCCCCCC,,0.37464529,0.2056666666666666,,
*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)CC(=O)N(*)C4=S)cc3)c2)cc1,,0.36549422,,,
*CC(CC)C(CC)COC(=O)c1ccc(C(=O)O*)cc1,,0.35322539,,,
*CC(*)(C)C(=O)OCCN(CC)c1ccc(N=Nc2ccc(S(C)(=O)=O)cc2)cc1,,0.37573,,,
*CC(*)c1cc(-c2ccc(C(=O)OC(C)CCCCCC)cc2)ccc1-c1ccc(C(=O)OC(C)CCCCCC)cc1,,0.37966374,,0.947782381,10.01820949
*Oc1ccc(C2(c3ccc(Oc4ccc(C(=O)C(=O)c5ccc(*)cc5)cc4)cc3)c3ccccc3-c3ccccc32)cc1,,0.3923538,,,
*Nc1ccc(-c2ccc(-c3cc(-c4ccc(N*)cc4)cc(-c4ccc(-c5ccc(C)cc5)cc4)c3)cc2)cc1,,0.35439862,,,
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,,0.3314918,,,
*Oc1ccc(CC(NC(=O)Cc2ccc(OC(=O)CCCCC(*)=O)cc2)C(=O)OCCCCCCCC)cc1,,0.35265054,,,
*CC(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)CN4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2)cc1,,0.34249238,,,
*CC(C[Si](*)(C)C)c1cccc2ccccc12,,0.37751563,,,
*Cc1ccc(CNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*)cc1,,,0.359,,
*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,,0.35917558,,,
*Nc1c(N*)c(-c2ccccc2)c(-c2ccccc2)c(-c2ccccc2)c1-c1ccccc1,,0.37324371,,,
*CC(*)(C)C(=O)OCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,,0.3553822,,,
*CCC[Si](*)(C)C[Si](C)(C)C,,0.40507893,,,
*N[C@@H](O)N[C@@]1(N*)[C@@H](O)N=CNC1(N)N,,0.30799614,,,
*CCC=C(*)Cl,,0.39969952,,,
*CCN(*)C(=O)c1cc(F)c(F)c(F)c1,,0.33491733,,,
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(Oc4ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,126.2551791,,,,
*CCCCCCCCCCOc1ccc(-c2cc(-c3ccccc3)c(-c3ccc(NC(=O)c4ccc(C(=O)Nc5ccc(-c6c(-c7ccccc7)cc(-c7ccc(O*)cc7)cc6-c6ccccc6)cc5)cc4)cc3)c(-c3ccccc3)c2)cc1,,0.37093746,,,
*CC(*)(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CCCCCCCCCCCC,,0.37677964,,,
